n,n_copd,actual_prev,pred_prev,sensitivity,specificity,ppv,fpr,auc,model,income_val,income_label,model_type
10251,1697,16.554482489513216,60.3648424543947,0.9422510312315852,0.4635258358662614,0.25840336134453784,0.5364741641337386,0.8371502117160915,Logistic Regression,1,<$10k,baseline
10940,2471,22.586837294332724,70.0,0.9465803318494537,0.37194473963868224,0.3054322277357012,0.6280552603613178,0.8057602562137851,Logistic Regression,2,$10–15k,baseline
14207,2573,18.110790455409305,60.70950939677624,0.9117761368052857,0.4602888086642599,0.272,0.5397111913357401,0.8086928893099892,Logistic Regression,3,$15–20k,baseline
20226,2992,14.792840897854248,54.088796598437646,0.9017379679144385,0.521759312985958,0.246617915904936,0.478240687014042,0.8142990607734121,Logistic Regression,4,$20–25k,baseline
42093,5023,11.933100515525148,44.64400256574728,0.852876766872387,0.6086323172376585,0.22796934865900384,0.3913676827623415,0.8181797961908267,Logistic Regression,5,$25–35k,baseline
46641,4186,8.974936214918205,35.60386784159859,0.7928810320114668,0.6870333294076081,0.19986751776466338,0.31296667059239197,0.8160523947590047,Logistic Regression,6,$35–50k,baseline
58971,4002,6.7863865289718674,25.780468365806925,0.7091454272863568,0.7750550310174826,0.18667368282575808,0.22494496898251742,0.8191564567186108,Logistic Regression,7,$50–75k,baseline
48319,2341,4.84488503487241,18.19574080589416,0.6253737718923537,0.8406194266823264,0.1665150136487716,0.15938057331767366,0.8208179546672851,Logistic Regression,8,$75–100k,baseline
50241,1738,3.459326048446488,11.066658705041698,0.5189873417721519,0.9039647032142342,0.16223021582733813,0.09603529678576583,0.8209610585581326,Logistic Regression,9,$100–150k,baseline
22517,547,2.429275658391438,7.327796775769419,0.42778793418647165,0.9355484751934456,0.14181818181818182,0.06445152480655439,0.7983632741672831,Logistic Regression,10,$150–200k,baseline
23447,454,1.9362818270994158,4.512304345971766,0.3700440528634361,0.9612925673030922,0.15879017013232513,0.038707432696907754,0.8334249305141902,Logistic Regression,11,>$200k,baseline
10251,1697,16.554482489513216,51.10720905277534,0.9169121979964644,0.5694411971007716,0.29700324489406377,0.43055880289922843,0.8531284285117708,Random Forest,1,<$10k,baseline
10940,2471,22.586837294332724,64.89031078610603,0.9413193039255362,0.43641516117605383,0.3276517819411185,0.5635848388239462,0.8257766953431561,Random Forest,2,$10–15k,baseline
14207,2573,18.110790455409305,55.838671077637784,0.9144966964632725,0.520371325425477,0.2966091012227405,0.47962867457452296,0.8211299004933541,Random Forest,3,$15–20k,baseline
20226,2992,14.792840897854248,50.227430040541876,0.8993983957219251,0.5666705349889752,0.264888276405158,0.4333294650110247,0.8308335399369111,Random Forest,4,$20–25k,baseline
42093,5023,11.933100515525148,42.819471170978545,0.8592474616762891,0.6302131103318047,0.23945849977807368,0.3697868896681953,0.8290400145304084,Random Forest,5,$25–35k,baseline
46641,4186,8.974936214918205,35.8611522051414,0.8146201624462494,0.6863502532092804,0.20387420782016022,0.3136497467907196,0.8257628197203605,Random Forest,6,$35–50k,baseline
58971,4002,6.7863865289718674,27.998507741093082,0.7538730634682659,0.7545161818479507,0.1827266670704379,0.24548381815204934,0.8273156418752547,Random Forest,7,$50–75k,baseline
48319,2341,4.84488503487241,18.46892526749312,0.653139683895771,0.8391622080125277,0.171335723890632,0.16083779198747228,0.8271713544852506,Random Forest,8,$75–100k,baseline
50241,1738,3.459326048446488,11.48265360960172,0.5391254315304949,0.9003772962497165,0.1624198301265384,0.09962270375028348,0.8291873894267796,Random Forest,9,$100–150k,baseline
22517,547,2.429275658391438,7.48323488919483,0.42778793418647165,0.9339553937187073,0.13887240356083086,0.06604460628129268,0.8066267446301629,Random Forest,10,$150–200k,baseline
23447,454,1.9362818270994158,5.19469441719623,0.41409691629955947,0.9552037576653765,0.15435139573070608,0.04479624233462358,0.8375457019958765,Random Forest,11,>$200k,baseline
10251,1697,16.554482489513216,47.585601404741,0.901591043017089,0.6086041617956511,0.31365313653136534,0.39139583820434887,0.8502498736234114,XGBoost,1,<$10k,baseline
10940,2471,22.586837294332724,63.76599634369286,0.9372723593686767,0.44975794072499703,0.3319954128440367,0.5502420592750029,0.8284631182097263,XGBoost,2,$10–15k,baseline
14207,2573,18.110790455409305,56.40177377349194,0.9156626506024096,0.5137527935361871,0.29402221390240857,0.486247206463813,0.8260889805207289,XGBoost,3,$15–20k,baseline
20226,2992,14.792840897854248,49.31276574705824,0.8973930481283422,0.5770569803876059,0.2691999197914578,0.4229430196123941,0.8336133697441757,XGBoost,4,$20–25k,baseline
42093,5023,11.933100515525148,42.332454327322836,0.8560621142743381,0.6353115727002967,0.24131544980077446,0.36468842729970324,0.8304531526169264,XGBoost,5,$25–35k,baseline
46641,4186,8.974936214918205,34.78270191462447,0.8076923076923077,0.6975150158991874,0.2084078160636134,0.30248498410081265,0.8279954385810714,XGBoost,6,$35–50k,baseline
58971,4002,6.7863865289718674,28.081599430228415,0.7518740629685158,0.7534792337499318,0.18170289855072463,0.24652076625006822,0.8289216308907891,XGBoost,7,$50–75k,baseline
48319,2341,4.84488503487241,18.220575756948612,0.6527125160187954,0.8417504023663491,0.17355747387551113,0.15824959763365087,0.8272943122752335,XGBoost,8,$75–100k,baseline
50241,1738,3.459326048446488,11.621982046535697,0.5466052934407365,0.8992021112096159,0.16269909231032711,0.1007978887903841,0.8301110270260292,XGBoost,9,$100–150k,baseline
22517,547,2.429275658391438,6.7993071901230175,0.41316270566727603,0.9406008192990442,0.14761593729588504,0.05939918070095585,0.8027856250712497,XGBoost,10,$150–200k,baseline
23447,454,1.9362818270994158,4.567748539258753,0.3722466960352423,0.9607706693341451,0.15779645191409897,0.03922933066585482,0.8355122350012291,XGBoost,11,>$200k,baseline
10251,1697,16.554482489513216,59.96488147497805,0.9398939304655274,0.46785129763853167,0.2594761672360501,0.5321487023614683,0.8379698512097363,Logistic Regression,1,<$10k,interaction
10940,2471,22.586837294332724,70.04570383912248,0.9494131930392553,0.37218089502892904,0.3061464178520162,0.627819104971071,0.806443109416259,Logistic Regression,2,$10–15k,interaction
14207,2573,18.110790455409305,61.18814668825227,0.916051301982122,0.4553893759669933,0.2711376969975843,0.5446106240330068,0.8091555695239324,Logistic Regression,3,$15–20k,interaction
20226,2992,14.792840897854248,54.73153366953426,0.9067513368983957,0.5150864570035976,0.24507678410117434,0.48491354299640244,0.8147071739485249,Logistic Regression,4,$20–25k,interaction
42093,5023,11.933100515525148,45.52063288432756,0.8578538721879355,0.5993525762071756,0.22488387871196702,0.40064742379282436,0.8185625217605703,Logistic Regression,5,$25–35k,interaction
46641,4186,8.974936214918205,36.388585150404154,0.8010033444816054,0.6792132846543399,0.19756068819231676,0.3207867153456601,0.8164402003346565,Logistic Regression,6,$35–50k,interaction
58971,4002,6.7863865289718674,26.373980431059334,0.7166416791604198,0.7692335680110608,0.18440172314023018,0.23076643198893923,0.8192362550009901,Logistic Regression,7,$50–75k,interaction
48319,2341,4.84488503487241,18.50203853556572,0.6317812900469885,0.8377267388751142,0.16543624161073825,0.16227326112488583,0.8213230622397663,Logistic Regression,8,$75–100k,interaction
50241,1738,3.459326048446488,11.207977548217592,0.5230149597238205,0.9026451972042966,0.161427810335642,0.09735480279570335,0.8213238657701574,Logistic Regression,9,$100–150k,interaction
22517,547,2.429275658391438,7.296709153084337,0.4405850091407678,0.9361857077833409,0.14668289713937918,0.06381429221665907,0.7977460123036315,Logistic Regression,10,$150–200k,interaction
23447,454,1.9362818270994158,4.345971766110803,0.3634361233480176,0.9628582612099335,0.1619234543670265,0.03714173879006654,0.8319542664871573,Logistic Regression,11,>$200k,interaction
10251,1697,16.554482489513216,50.356062823139204,0.9157336476134355,0.5782090250175357,0.30104610616040295,0.4217909749824643,0.8523523267690071,Random Forest,1,<$10k,interaction
10940,2471,22.586837294332724,65.0091407678245,0.943342776203966,0.4354705396150667,0.327755905511811,0.5645294603849332,0.8264378061938369,Random Forest,2,$10–15k,interaction
14207,2573,18.110790455409305,56.58478214964454,0.916051301982122,0.5116039195461578,0.2931956711033711,0.4883960804538422,0.8226625913392545,Random Forest,3,$15–20k,interaction
20226,2992,14.792840897854248,49.619301888658164,0.8947192513368984,0.5729952419635604,0.2667397369469908,0.4270047580364396,0.830898100322767,Random Forest,4,$20–25k,interaction
42093,5023,11.933100515525148,42.10676359489701,0.8548676089986064,0.6377124359320205,0.2422703678627849,0.3622875640679795,0.829820956859842,Random Forest,5,$25–35k,interaction
46641,4186,8.974936214918205,35.18363671447868,0.8064978499761108,0.6929925803792251,0.2057282145033516,0.30700741962077494,0.8257633796004348,Random Forest,6,$35–50k,interaction
58971,4002,6.7863865289718674,25.617676485051977,0.7261369315342329,0.7780385308082738,0.19236115707949958,0.22196146919172624,0.8276689962792076,Random Forest,7,$50–75k,interaction
48319,2341,4.84488503487241,17.204412342970674,0.6215292609995728,0.8508417069033016,0.17502706604114038,0.14915829309669842,0.8247791753532404,Random Forest,8,$75–100k,interaction
50241,1738,3.459326048446488,10.58099958201469,0.5230149597238205,0.909139640846958,0.17099322799097066,0.09086035915304208,0.8286181128345139,Random Forest,9,$100–150k,interaction
22517,547,2.429275658391438,5.684593862415064,0.3875685557586837,0.9513882567137005,0.165625,0.0486117432862995,0.8010174668964409,Random Forest,10,$150–200k,interaction
23447,454,1.9362818270994158,3.595342687763893,0.3303964757709251,0.9698603922933067,0.17793594306049823,0.03013960770669334,0.8335724567388927,Random Forest,11,>$200k,interaction
10251,1697,16.554482489513216,46.41498390400937,0.8956982911019447,0.6214636427402385,0.3194619588062211,0.37853635725976154,0.8543589555293564,XGBoost,1,<$10k,interaction
10940,2471,22.586837294332724,63.180987202925046,0.9380817482800485,0.4575510686031409,0.3353587962962963,0.5424489313968591,0.830613221767831,XGBoost,2,$10–15k,interaction
14207,2573,18.110790455409305,55.6204687829943,0.9164399533618345,0.5234657039711191,0.2984054669703872,0.47653429602888087,0.8265214445430827,XGBoost,3,$15–20k,interaction
20226,2992,14.792840897854248,48.49203994858103,0.8940508021390374,0.5861088545897645,0.2727365415986949,0.4138911454102356,0.8356446946993846,XGBoost,4,$20–25k,interaction
42093,5023,11.933100515525148,41.394056018815476,0.8518813458092773,0.6454005934718101,0.2455808080808081,0.3545994065281899,0.8329402391298382,XGBoost,5,$25–35k,interaction
46641,4186,8.974936214918205,33.53058467871615,0.7998088867654085,0.7104934636674125,0.21408018415499713,0.28950653633258744,0.828905330919228,XGBoost,6,$35–50k,interaction
58971,4002,6.7863865289718674,25.049600651167523,0.7198900549725138,0.7836780730957449,0.19503113999458435,0.2163219269042551,0.8289764684868175,XGBoost,7,$50–75k,interaction
48319,2341,4.84488503487241,17.245803928061427,0.6245194361384024,0.8505589629822958,0.17544701788071523,0.14944103701770411,0.8263269830087376,XGBoost,8,$75–100k,interaction
50241,1738,3.459326048446488,10.56706673832129,0.5132336018411968,0.9089334680329052,0.16801657562629496,0.09106653196709481,0.8261769341874787,XGBoost,9,$100–150k,interaction
22517,547,2.429275658391438,5.5469201048097,0.35283363802559414,0.9519344560764679,0.1545236188951161,0.048065543923532086,0.7845428243100322,XGBoost,10,$150–200k,interaction
23447,454,1.9362818270994158,3.5825478739284344,0.29515418502202645,0.9692950028269474,0.1595238095238095,0.030704997173052667,0.8255285414388711,XGBoost,11,>$200k,interaction
