term,selection_freq,is_interaction,is_income_int,survives
SEXVAR_x_CVDCRHD4,1.0,True,False,True
_BMI5CAT_x_ASTHMA3,1.0,True,False,True
EXERANY2_x_MEDCOST1,1.0,True,False,True
EMPLOY1_x_HLTHPLN2,1.0,True,False,True
INCOME3_x_EDUCA,1.0,True,True,True
_SMOKER3_x_ASTHMA3,1.0,True,False,True
EDUCA_x_EXERANY2,1.0,True,False,True
INCOME3_x_EXERANY2,1.0,True,True,True
_SMOKER3_x_MEDCOST1,1.0,True,False,True
HAVARTH3,1.0,False,False,True
EDUCA_x__SMOKER3,1.0,True,False,True
INCOME3_x__SMOKER3,1.0,True,True,True
ASTHMA3,1.0,False,False,True
EXERANY2_x_HAVARTH3,1.0,True,False,True
_AGEG5YR_x__SMOKER3,1.0,True,False,True
_AGEG5YR,1.0,False,False,True
PERSDOC3_x_HAVARTH3,1.0,True,False,True
_SMOKER3,1.0,False,False,True
_IMPRACE,1.0,False,False,True
_AGEG5YR_x_ASTHMA3,1.0,True,False,True
_IMPRACE_x_ASTHMA3,0.98,True,False,True
CHECKUP1_x_CVDCRHD4,0.98,True,False,True
CHECKUP1_x_ASTHMA3,0.98,True,False,True
EMPLOY1_x_PERSDOC3,0.98,True,False,True
_AGEG5YR_x_HLTHPLN2,0.98,True,False,True
_IMPRACE_x_MARITAL,0.96,True,False,True
MARITAL_x_HAVARTH3,0.96,True,False,True
DRNKANY6_x_MEDCOST1,0.96,True,False,True
PERSDOC3_x_CHECKUP1,0.96,True,False,True
EXERANY2_x_CVDSTRK3,0.94,True,False,True
PERSDOC3_x_ASTHMA3,0.94,True,False,True
INCOME3_x_DIABETES,0.94,True,True,True
EMPLOY1_x_EXERANY2,0.94,True,False,True
CHECKUP1,0.94,False,False,True
EXERANY2_x_CHCKDNY2,0.92,True,False,True
_IMPRACE_x_CHCKDNY2,0.92,True,False,True
CVDCRHD4,0.92,False,False,True
INCOME3_x_CVDSTRK3,0.9,True,True,True
SEXVAR_x_CVDINFR4,0.9,True,False,True
CVDINFR4_x_CVDCRHD4,0.9,True,False,True
CHECKUP1_x_MEDCOST1,0.9,True,False,True
CHECKUP1_x_CVDSTRK3,0.9,True,False,True
INCOME3_x_DRNKANY6,0.9,True,True,True
DRNKANY6_x_CHCKDNY2,0.88,True,False,True
EXERANY2_x_DRNKANY6,0.86,True,False,True
_AGEG5YR_x__IMPRACE,0.84,True,False,True
CHECKUP1_x_HAVARTH3,0.84,True,False,True
_BMI5CAT_x_DIABETES,0.84,True,False,True
DRNKANY6_x_CVDSTRK3,0.82,True,False,True
_IMPRACE_x_HAVARTH3,0.82,True,False,True
INCOME3_x_ASTHMA3,0.78,True,True,True
EMPLOY1_x__URBSTAT,0.78,True,False,True
INCOME3_x_MEDCOST1,0.78,True,True,True
CVDINFR4,0.78,False,False,True
CHECKUP1_x_HLTHPLN2,0.78,True,False,True
DRNKANY6_x_CVDINFR4,0.76,True,False,True
EMPLOY1,0.76,False,False,True
CHECKUP1_x_CHCKDNY2,0.76,True,False,True
_IMPRACE_x_CVDINFR4,0.74,True,False,True
CHECKUP1_x_DRNKANY6,0.72,True,False,True
CHCKDNY2_x_DIABETES,0.7,True,False,True
SEXVAR_x_CHCKDNY2,0.7,True,False,True
CHECKUP1_x_PREDIABETES,0.66,True,False,True
SEXVAR_x_CVDSTRK3,0.66,True,False,True
_URBSTAT_x_ASTHMA3,0.66,True,False,True
_AGEG5YR_x_PERSDOC3,0.66,True,False,True
INCOME3_x__URBSTAT,0.62,True,True,True
_URBSTAT_x_CHECKUP1,0.62,True,False,True
EDUCA_x_MEDCOST1,0.62,True,False,True
SEXVAR_x__SMOKER3,0.58,True,False,True
MARITAL_x_CVDINFR4,0.58,True,False,True
_BMI5CAT_x_CVDCRHD4,0.58,True,False,True
CHECKUP1_x_CVDINFR4,0.56,True,False,True
PERSDOC3_x_PREDIABETES,0.54,True,False,True
_BMI5CAT_x_HAVARTH3,0.54,True,False,True
_AGEG5YR_x_MARITAL,0.52,True,False,True
INCOME3_x_CVDCRHD4,0.52,True,True,True
_URBSTAT_x_CHCKDNY2,0.5,True,False,False
EXERANY2_x_PREDIABETES,0.5,True,False,False
_URBSTAT_x_HAVARTH3,0.48,True,False,False
_BMI5CAT_x_CVDINFR4,0.46,True,False,False
EXERANY2_x_ASTHMA3,0.46,True,False,False
_AGEG5YR_x__BMI5CAT,0.44,True,False,False
INCOME3_x_PREDIABETES,0.42,True,True,False
SEXVAR_x_PREDIABETES,0.4,True,False,False
EDUCA_x_CVDINFR4,0.4,True,False,False
MARITAL_x_CHCKDNY2,0.36,True,False,False
_SMOKER3_x_CVDSTRK3,0.36,True,False,False
INCOME3_x_SEXVAR,0.36,True,True,False
INCOME3_x_CHCKDNY2,0.34,True,True,False
EXERANY2_x_CVDINFR4,0.32,True,False,False
MARITAL_x_CVDCRHD4,0.32,True,False,False
DRNKANY6_x_DIABETES,0.32,True,False,False
_URBSTAT_x_CVDSTRK3,0.32,True,False,False
EMPLOY1_x__BMI5CAT,0.3,True,False,False
EXERANY2_x_DIABETES,0.3,True,False,False
DRNKANY6_x_PREDIABETES,0.3,True,False,False
CHECKUP1_x_DIABETES,0.28,True,False,False
PERSDOC3_x_CVDINFR4,0.28,True,False,False
CHCKDNY2_x_PREDIABETES,0.28,True,False,False
CVDINFR4_x_DIABETES,0.28,True,False,False
HAVARTH3_x_MEDCOST1,0.28,True,False,False
MARITAL_x_CVDSTRK3,0.26,True,False,False
CVDCRHD4_x_MEDCOST1,0.26,True,False,False
_BMI5CAT_x_CHCKDNY2,0.26,True,False,False
SEXVAR_x_ASTHMA3,0.26,True,False,False
_IMPRACE_x_PERSDOC3,0.22,True,False,False
ASTHMA3_x_CVDSTRK3,0.22,True,False,False
CVDCRHD4_x_HLTHPLN2,0.22,True,False,False
_URBSTAT_x__SMOKER3,0.2,True,False,False
_URBSTAT_x_DRNKANY6,0.2,True,False,False
_URBSTAT_x_PREDIABETES,0.2,True,False,False
ASTHMA3_x_PREDIABETES,0.2,True,False,False
ASTHMA3_x_HLTHPLN2,0.2,True,False,False
SEXVAR_x_MEDCOST1,0.18,True,False,False
MARITAL_x_PREDIABETES,0.18,True,False,False
PERSDOC3_x_CVDSTRK3,0.18,True,False,False
MEDCOST1_x_DIABETES,0.18,True,False,False
_URBSTAT_x_CVDINFR4,0.18,True,False,False
_BMI5CAT,0.16,False,False,False
_BMI5CAT_x_HLTHPLN2,0.16,True,False,False
ASTHMA3_x_DIABETES,0.16,True,False,False
MARITAL_x_EXERANY2,0.16,True,False,False
_IMPRACE_x__BMI5CAT,0.16,True,False,False
ASTHMA3_x_MEDCOST1,0.14,True,False,False
PERSDOC3_x_HLTHPLN2,0.14,True,False,False
EXERANY2_x_CVDCRHD4,0.14,True,False,False
EMPLOY1_x_ASTHMA3,0.12,True,False,False
ASTHMA3_x_CVDINFR4,0.12,True,False,False
_AGEG5YR_x_HAVARTH3,0.12,True,False,False
INCOME3_x_MARITAL,0.12,True,True,False
HLTHPLN2_x_PREDIABETES,0.12,True,False,False
DRNKANY6_x_CVDCRHD4,0.12,True,False,False
EMPLOY1_x_CVDINFR4,0.1,True,False,False
CVDINFR4_x_PREDIABETES,0.1,True,False,False
ASTHMA3_x_CHCKDNY2,0.1,True,False,False
_SMOKER3_x_PREDIABETES,0.1,True,False,False
INCOME3_x_CVDINFR4,0.1,True,True,False
CVDSTRK3_x_PREDIABETES,0.1,True,False,False
_SMOKER3_x_EXERANY2,0.1,True,False,False
_IMPRACE_x_CHECKUP1,0.1,True,False,False
EDUCA_x_DRNKANY6,0.1,True,False,False
MARITAL_x_MEDCOST1,0.08,True,False,False
_URBSTAT_x_EXERANY2,0.08,True,False,False
_URBSTAT_x_CVDCRHD4,0.08,True,False,False
EDUCA_x_CHCKDNY2,0.08,True,False,False
CVDSTRK3_x_MEDCOST1,0.08,True,False,False
PERSDOC3_x_CHCKDNY2,0.08,True,False,False
SEXVAR_x_MARITAL,0.08,True,False,False
_IMPRACE_x_CVDSTRK3,0.08,True,False,False
_IMPRACE_x_CVDCRHD4,0.08,True,False,False
EMPLOY1_x_HAVARTH3,0.08,True,False,False
_IMPRACE_x__URBSTAT,0.08,True,False,False
PERSDOC3_x_CVDCRHD4,0.08,True,False,False
EMPLOY1_x_PREDIABETES,0.06,True,False,False
DRNKANY6_x_HAVARTH3,0.06,True,False,False
_IMPRACE_x_DIABETES,0.06,True,False,False
CVDSTRK3_x_CHCKDNY2,0.06,True,False,False
CVDSTRK3_x_HAVARTH3,0.06,True,False,False
HAVARTH3_x_CHCKDNY2,0.06,True,False,False
CVDSTRK3_x_DIABETES,0.06,True,False,False
CVDCRHD4_x_CHCKDNY2,0.06,True,False,False
CHCKDNY2_x_MEDCOST1,0.06,True,False,False
EDUCA_x_CVDCRHD4,0.06,True,False,False
EDUCA_x_PREDIABETES,0.06,True,False,False
EDUCA_x_CVDSTRK3,0.06,True,False,False
_SMOKER3_x_CVDINFR4,0.04,True,False,False
CHECKUP1_x_EXERANY2,0.04,True,False,False
_IMPRACE_x_EMPLOY1,0.04,True,False,False
_SMOKER3_x_HLTHPLN2,0.04,True,False,False
CHCKDNY2,0.04,False,False,False
MEDCOST1_x_PREDIABETES,0.04,True,False,False
SEXVAR_x_HAVARTH3,0.04,True,False,False
_AGEG5YR_x_CHECKUP1,0.04,True,False,False
INCOME3_x_HLTHPLN2,0.04,True,True,False
CVDCRHD4_x_CVDSTRK3,0.04,True,False,False
EMPLOY1_x__SMOKER3,0.04,True,False,False
EDUCA_x_CHECKUP1,0.04,True,False,False
CVDINFR4_x_MEDCOST1,0.04,True,False,False
CVDINFR4_x_CVDSTRK3,0.02,True,False,False
INCOME3_x_HAVARTH3,0.02,True,True,False
ASTHMA3_x_CVDCRHD4,0.02,True,False,False
_BMI5CAT_x_PERSDOC3,0.02,True,False,False
EMPLOY1_x_CHCKDNY2,0.02,True,False,False
PERSDOC3_x_DIABETES,0.02,True,False,False
_AGEG5YR_x_EXERANY2,0.02,True,False,False
DRNKANY6_x_ASTHMA3,0.02,True,False,False
HAVARTH3_x_PREDIABETES,0.02,True,False,False
CVDINFR4_x_CHCKDNY2,0.02,True,False,False
_AGEG5YR_x_MEDCOST1,0.02,True,False,False
_AGEG5YR_x_DIABETES,0.02,True,False,False
SEXVAR_x__BMI5CAT,0.02,True,False,False
CVDCRHD4_x_PREDIABETES,0.02,True,False,False
SEXVAR_x_PERSDOC3,0.02,True,False,False
_IMPRACE_x_PREDIABETES,0.02,True,False,False
_IMPRACE_x_MEDCOST1,0.02,True,False,False
EXERANY2_x_HLTHPLN2,0.02,True,False,False
HLTHPLN2_x_DIABETES,0.0,True,False,False
HLTHPLN2_x_MEDCOST1,0.0,True,False,False
ASTHMA3_x_HAVARTH3,0.0,True,False,False
PERSDOC3_x_MEDCOST1,0.0,True,False,False
CHCKDNY2_x_HLTHPLN2,0.0,True,False,False
HAVARTH3_x_DIABETES,0.0,True,False,False
HAVARTH3_x_HLTHPLN2,0.0,True,False,False
CVDSTRK3_x_HLTHPLN2,0.0,True,False,False
CVDCRHD4_x_DIABETES,0.0,True,False,False
CVDCRHD4_x_HAVARTH3,0.0,True,False,False
CVDINFR4_x_HLTHPLN2,0.0,True,False,False
CVDINFR4_x_HAVARTH3,0.0,True,False,False
DRNKANY6_x_HLTHPLN2,0.0,True,False,False
INCOME3,0.0,False,False,False
MARITAL_x_PERSDOC3,0.0,True,False,False
PERSDOC3_x_DRNKANY6,0.0,True,False,False
PERSDOC3_x_EXERANY2,0.0,True,False,False
EDUCA_x__URBSTAT,0.0,True,False,False
EDUCA_x__BMI5CAT,0.0,True,False,False
EDUCA_x_PERSDOC3,0.0,True,False,False
EDUCA_x_ASTHMA3,0.0,True,False,False
EDUCA_x_HAVARTH3,0.0,True,False,False
EDUCA_x_HLTHPLN2,0.0,True,False,False
EDUCA_x_DIABETES,0.0,True,False,False
SEXVAR_x__AGEG5YR,0.0,True,False,False
SEXVAR_x__IMPRACE,0.0,True,False,False
SEXVAR_x_EMPLOY1,0.0,True,False,False
SEXVAR_x__URBSTAT,0.0,True,False,False
SEXVAR_x_CHECKUP1,0.0,True,False,False
SEXVAR_x_EXERANY2,0.0,True,False,False
SEXVAR_x_DRNKANY6,0.0,True,False,False
SEXVAR_x_HLTHPLN2,0.0,True,False,False
SEXVAR_x_DIABETES,0.0,True,False,False
_AGEG5YR_x_EMPLOY1,0.0,True,False,False
_AGEG5YR_x__URBSTAT,0.0,True,False,False
_AGEG5YR_x_DRNKANY6,0.0,True,False,False
EDUCA_x_MARITAL,0.0,True,False,False
EDUCA_x_EMPLOY1,0.0,True,False,False
EDUCA_x__IMPRACE,0.0,True,False,False
MEDCOST1,0.0,False,False,False
SEXVAR,0.0,False,False,False
MARITAL,0.0,False,False,False
_URBSTAT,0.0,False,False,False
PERSDOC3,0.0,False,False,False
EXERANY2,0.0,False,False,False
DRNKANY6,0.0,False,False,False
CVDSTRK3,0.0,False,False,False
HLTHPLN2,0.0,False,False,False
DIABETES,0.0,False,False,False
EDUCA_x__AGEG5YR,0.0,True,False,False
PREDIABETES,0.0,False,False,False
INCOME3_x__AGEG5YR,0.0,True,True,False
INCOME3_x__IMPRACE,0.0,True,True,False
INCOME3_x_EMPLOY1,0.0,True,True,False
INCOME3_x__BMI5CAT,0.0,True,True,False
INCOME3_x_PERSDOC3,0.0,True,True,False
INCOME3_x_CHECKUP1,0.0,True,True,False
EDUCA_x_SEXVAR,0.0,True,False,False
_AGEG5YR_x_CVDINFR4,0.0,True,False,False
_AGEG5YR_x_CVDCRHD4,0.0,True,False,False
_AGEG5YR_x_CVDSTRK3,0.0,True,False,False
_SMOKER3_x_CVDCRHD4,0.0,True,False,False
_URBSTAT_x_PERSDOC3,0.0,True,False,False
_URBSTAT_x_HLTHPLN2,0.0,True,False,False
_URBSTAT_x_MEDCOST1,0.0,True,False,False
_URBSTAT_x_DIABETES,0.0,True,False,False
_SMOKER3_x__BMI5CAT,0.0,True,False,False
_SMOKER3_x_PERSDOC3,0.0,True,False,False
_SMOKER3_x_CHECKUP1,0.0,True,False,False
_SMOKER3_x_DRNKANY6,0.0,True,False,False
_SMOKER3_x_HAVARTH3,0.0,True,False,False
MARITAL_x_DIABETES,0.0,True,False,False
_SMOKER3_x_CHCKDNY2,0.0,True,False,False
_SMOKER3_x_DIABETES,0.0,True,False,False
_BMI5CAT_x_CHECKUP1,0.0,True,False,False
_BMI5CAT_x_EXERANY2,0.0,True,False,False
_BMI5CAT_x_DRNKANY6,0.0,True,False,False
_BMI5CAT_x_CVDSTRK3,0.0,True,False,False
_BMI5CAT_x_MEDCOST1,0.0,True,False,False
_BMI5CAT_x_PREDIABETES,0.0,True,False,False
_URBSTAT_x__BMI5CAT,0.0,True,False,False
MARITAL_x_HLTHPLN2,0.0,True,False,False
_AGEG5YR_x_CHCKDNY2,0.0,True,False,False
EMPLOY1_x_CVDCRHD4,0.0,True,False,False
_AGEG5YR_x_PREDIABETES,0.0,True,False,False
_IMPRACE_x__SMOKER3,0.0,True,False,False
_IMPRACE_x_EXERANY2,0.0,True,False,False
_IMPRACE_x_DRNKANY6,0.0,True,False,False
_IMPRACE_x_HLTHPLN2,0.0,True,False,False
EMPLOY1_x_MARITAL,0.0,True,False,False
EMPLOY1_x_CHECKUP1,0.0,True,False,False
EMPLOY1_x_DRNKANY6,0.0,True,False,False
EMPLOY1_x_CVDSTRK3,0.0,True,False,False
MARITAL_x_ASTHMA3,0.0,True,False,False
EMPLOY1_x_MEDCOST1,0.0,True,False,False
EMPLOY1_x_DIABETES,0.0,True,False,False
MARITAL_x__URBSTAT,0.0,True,False,False
MARITAL_x__SMOKER3,0.0,True,False,False
MARITAL_x__BMI5CAT,0.0,True,False,False
EDUCA,0.0,False,False,False
MARITAL_x_CHECKUP1,0.0,True,False,False
MARITAL_x_DRNKANY6,0.0,True,False,False
DIABETES_x_PREDIABETES,0.0,True,False,False
